periodo,valor
2011,1268209405
2012,1245269485
2013,1240995258
2014,1320749401
2015,1326452695
2016,1347626192
2017,1426659433
2018,1465646694
2019,1457696536
2020,1478424361
2021,1528031685
2022,1586047875
