periodo,valor
fev 2023,-0.3
mar 2023,1.2
abr 2023,-0.7
mai 2023,0.4
jun 2023,0
jul 2023,-0.4
ago 2023,0.5
set 2023,0.2
out 2023,0
nov 2023,0.6
dez 2023,1.6
jan 2024,-1.6
