periodo,valor
fev 2023,0.3
mar 2023,0.8
abr 2023,0.1
mai 2023,-0.8
jun 2023,0
jul 2023,0.9
ago 2023,-0.2
set 2023,0.8
out 2023,-0.3
nov 2023,0.2
dez 2023,-1.4
jan 2024,2.5
