periodo,valor
mar 2023,0.71
abr 2023,0.61
mai 2023,0.23
jun 2023,-0.08
jul 2023,0.12
ago 2023,0.23
set 2023,0.26
out 2023,0.24
nov 2023,0.28
dez 2023,0.56
jan 2024,0.42
fev 2024,0.83
