periodo,valor
mar 2023,0.69
abr 2023,0.57
mai 2023,0.51
jun 2023,0.04
jul 2023,-0.07
ago 2023,0.28
set 2023,0.35
out 2023,0.21
nov 2023,0.33
dez 2023,0.4
jan 2024,0.31
fev 2024,0.78
