periodo,valor
fev 2023,-0.29
mar 2023,-0.65
abr 2023,-0.35
mai 2023,-2.88
jun 2023,-2.72
jul 2023,-0.76
ago 2023,0.75
set 2023,1.06
out 2023,1.07
nov 2023,-0.34
dez 2023,-0.2
jan 2024,-0.31
