periodo,valor
mar 2023,0.64
abr 2023,0.53
mai 2023,0.36
jun 2023,-0.1
jul 2023,-0.09
ago 2023,0.2
set 2023,0.11
out 2023,0.12
nov 2023,0.1
dez 2023,0.55
jan 2024,0.57
fev 2024,0.81
