periodo,valor
1º tri 2021,1.7
2º tri 2021,12.4
3º tri 2021,4.2
4º tri 2021,1.5
1º tri 2022,1.5
2º tri 2022,3.5
3º tri 2022,4.3
4º tri 2022,2.7
1º tri 2023,4.2
2º tri 2023,3.5
3º tri 2023,2
4º tri 2023,2.1
