periodo,valor
fev 2023,0.7
mar 2023,1.7
abr 2023,-2
mai 2023,1.6
jun 2023,0.4
jul 2023,1
ago 2023,-1.4
set 2023,-0.1
out 2023,-0.2
nov 2023,0.5
dez 2023,0.7
jan 2024,0.7
